2.4607258961 248.0502137347  6.1446656959  15.3573925246  
2.5131552343 248.0502137347  6.1054084772  15.2511995702  
2.5647765409 248.0502137347  6.0665823106  15.1418082537  
2.6168960335 248.0502137347  6.0273383535  15.0286887250  
2.6687529754 248.0502137347  5.9787643536  14.9184290446  
2.7205275576 248.0502137347  5.9341975822  14.8058129373  
2.7712635021 248.0502137347  5.8962174926  14.6940705354  
2.8226032829 248.0502137347  5.8745737617  14.5732321843  
2.8743270133 248.0502137347  5.8737871181  14.4418083586  
2.9253477201 248.0502137347  5.8795815425  14.3094029006  
2.9765572277 248.0502137347  5.8619017292  14.1879897690  
3.0272940240 248.0502137347  5.8039618599  14.0874426227  
3.0779271868 248.0502137347  5.7041862314  14.0075963684  
3.1302983896 248.0502137347  5.5678854592  13.9409947958  
3.1807093120 248.0502137347  5.4140678622  13.8859836822  
3.2327698195 248.0502137347  5.2660668257  13.8255872797  
3.2848872500 248.0502137347  5.1407385283  13.7568880057  
3.3359569933 248.0502137347  5.0246238238  13.6870785422  
3.3885827304 248.0502137347  4.9311759554  13.6049056050  
3.4393817953 248.0502137347  4.8812144383  13.5065500459  
3.4906652108 248.0502137347  4.8567051458  13.3947598484  
3.5409570001 248.0502137347  4.8472169179  13.2811489420  
3.5910511553 248.0502137347  4.8330116612  13.1734857114  
3.6410728802 248.0502137347  4.8139343448  13.0704088282  
3.6913550671 248.0502137347  4.7964637875  12.9675192293  
3.7426643220 248.0502137347  4.7765348283  12.8635137614  
3.7930610179 248.0502137347  4.7506793876  12.7636413790  
3.8445578130 248.0502137347  4.7206835024  12.6636690496  
3.8955164823 248.0502137347  4.7000181368  12.5601322453  
3.9458428518 248.0502137347  4.6797105447  12.4588603650  
3.9984432981 248.0502137347  4.6424728010  12.3588760573  
4.0503495478 248.0502137347  4.6008373424  12.2618896421  
4.1003640202 248.0502137347  4.5664318473  12.1655171334  
4.1528040876 248.0502137347  4.5216629620  12.0687983931  
4.2053622494 248.0502137347  4.4596823023  11.9795156232  
4.2569753430 248.0502137347  4.3984560709  11.8960014043  
4.3076569161 248.0502137347  4.3388105020  11.8151748803  
4.3580989473 248.0502137347  4.2744356451  11.7372914234  
4.4096837609 248.0502137347  4.2035759292  11.6556078826  
4.4609908931 248.0502137347  4.1566470690  11.5656348243  
4.5132345145 248.0502137347  4.1300904584  11.4668953005  
4.5636346434 248.0502137347  4.1034147306  11.3743675600  
4.6152622283 248.0502137347  4.0662962290  11.2857585935  
4.6665617144 248.0502137347  4.0229857391  11.2025533471  
4.7168709460 248.0502137347  3.9855220319  11.1203007244  
4.7674148112 248.0502137347  3.9521897662  11.0383122570  
4.8195471617 248.0502137347  3.9223192038  10.9536739862  
4.8698073813 248.0502137347  3.8973289384  10.8702712343  
4.9224162134 248.0502137347  3.8781392433  10.7795971949  
4.9741002341 248.0502137347  3.8685722930  10.6848050905  
5.0256433949 248.0502137347  3.8718500990  10.5854848488  
